City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,kalabagh,32.965,71.557,28.47,19,34,1.34,PK,1683755385
342,katsuura,35.1333,140.3,14.01,67,100,6.32,JP,1683755386
343,cill airne,52.05,-9.5167,10.4,93,84,2.69,IE,1683755386
344,north syracuse,43.1348,-76.1299,20.23,36,8,0.89,US,1683755386
345,brisas de zicatela,15.8369,-97.0419,32.29,58,20,3.6,MX,1683755386
346,jeremie,18.65,-74.1167,28.53,71,57,2.09,HT,1683755387
347,kalmunai,7.4167,81.8167,25.71,87,100,3.64,LK,1683755320
348,whitehorse,60.7161,-135.0538,16.01,30,75,8.75,CA,1683755383
349,kem',64.9555,34.5793,3.79,98,100,2.63,RU,1683755387
350,dryden,49.7833,-92.7503,22.16,43,75,6.17,CA,1683755297
351,paita,-5.0892,-81.1144,25.64,75,19,6.95,PE,1683755388
352,sorong,-0.8833,131.25,25.63,91,95,4.43,ID,1683755388
353,espumoso,-28.7247,-52.8497,13.08,79,0,1.47,BR,1683755388
354,piti village,13.4626,144.6933,29.61,88,20,1.54,GU,1683755388
355,onega,63.9061,38.1404,8.53,71,97,2.65,RU,1683755388
356,kirov,58.5966,49.6601,5.73,94,50,2.15,RU,1683755389
357,kyren,51.6828,102.1408,4.33,95,100,2.45,RU,1683755389
358,muisne,0.6,-80.0333,27.84,79,17,2.62,EC,1683755389
359,geraldton,-28.7667,114.6,13.23,82,26,2.57,AU,1683755193
360,iranshahr,27.2025,60.6848,31.19,14,0,4.12,IR,1683755389
361,daru,-9.0763,143.2092,25.56,94,100,7.15,PG,1683755390
